brand,perfume,launch_year,main_accords,notes
Milton Lloyd,White Satin,0,"white floral, citrus, floral, fresh spicy, amber, animalic","jasmine, geranium, rose, cherry blossom, lily-of-the-valley, tuberose, violet, amber, patchouli, vanilla, cedar, bergamot, grapefruit"
Torrente,My Torrente,2004,"fruity, floral, woody, fresh, sweet, nutty","orange blossom, white rose, yellow freesia, apricot, musk, vanilla, cedar, grapefruit, red currant, hazelnut, pink pepper, litchi"
Cerruti,Cerruti 1881 Sport,2016,"aromatic, citrus, woody, fresh spicy, aquatic","cardamom, lavender, geranium, hedione, cedar, vetiver, white musk, bergamot, lemon, water notes"
Dar Al Oud,BN10501,0,"oud, fresh spicy, balsamic, woody",agarwood (oud)
Jar Parfums,Ferme tes Yeux,0,"leather, woody, warm spicy, animalic, smoky","woodsy notes, spices, leather"
Calzedonia,In Love,2014,nan,nan
Roja Dove,Risque,2012,"aromatic, balsamic, woody, fresh spicy, citrus, sweet","geranium, jasmine, peach, cardamom, pink pepper, oakmoss, vetiver, tonka bean, carrot seeds, cedar, incense, myrrh, labdanum, lemon, bergamot, lavender"
Lalique,Lalique de Lalique 2016 Collectible Crystal Flacon,2016,"powdery, woody, musky, warm spicy, fruity, rose","blackberry, pear, cassis, musk, sandalwood, vanilla, iris, rose, jasmine, cloves"
Ulric de Varens,Eau de Varens N 8,2016,"citrus, green, aromatic, fresh spicy, white floral","citruses, mint, ylang-ylang, mandarin blossom"
Cale Fragranze d Autore,Dolce Riso,2008,"vanilla, citrus, fresh, savory, musky, sweet","rice, wheat, pepper, musk, tonka bean, vanille, artemisia, lime, granny smith apple"
Natura,Arrepio,2015,"sweet, warm spicy, balsamic, cinnamon, woody","pink pepper, cinammon, sandalowood, benzoin, sweet notes, bergamot, fruity notes, watery notes, lily-of-the-valley, rose"
Princesse Marina De Bourbon,Monsieur Le Prince Elegant,2016,"aromatic, woody, green, fresh spicy, warm spicy, ozonic","geranium, violet leaf, vetiver, sandalwood, patchouli, mint, bergamot"
Black Phoenix Alchemy Lab,Witchblade,0,"musky, balsamic, amber, smoky, animalic, warm spicy","musk, amber, incense"
Est e Lauder,Beyond Paradise Summer Fun 2007,2007,nan,nan
Oilily,Papilon,2003,"woody, white floral, fruity, citrus, sweet, rose","rose, jasmine, white lily, sandalwood, cedar, peach, grapefruit, sour cherry"
Les Liquides Imaginaires,Belle Bete,2016,"musky, woody, leather, warm spicy, nutty","atlas cedar, cashmeran, patchouli, vetiver, coumarin, coffee, castoreum, civet, costus, suede, musk, ambrette (musk mallow), hazelnut, iris flower, saffron, red chilli pepper, rhubarb, clary sage"
Penthouse,Influential,2014,"citrus, woody, fresh, warm spicy, fresh spicy","spicy notes, citruses, woody notes"
Bottega Verde,Pasi n dulce,0,"fruity, almond, sweet, cherry, nutty","cherry, amaretto, sour cherry, musk, powdery notes, plum blossom, pear leaf"
Parfum Satori,Black Peony,2008,"citrus, woody, amber, powdery, white floral, vanilla","orange blossom, violet, geranium, sandalwood, amber, musk, patchouli, oakmoss, vanilla, bergamot, mandarin orange"
Jovoy Paris,Oriental,2007,"rose, amber, woody, vanilla, soft spicy, sweet","peach, rose, amber, vanilla, cedar, bergamot, pink pepper"
Jil Sander,Sun Men,2002,"fresh spicy, aromatic, warm spicy, musky, woody, citrus","nutmeg, cardamom, sandalwood, musk, rosemary, bergamot"
Parfums Regine,Zoa Night Perfume,2009,"citrus, floral, vanilla, amber, patchouli, sweet","rose, orchid, peony, patchouli, amber, vanilla, yuzu, lemon verbena, champagne"
Yves Saint Laurent,Opium Collector Edition 2008,2008,"balsamic, warm spicy, woody, amber, sweet, aromatic","carnation, sandalwood, patchouli, cinnamon, orris root, peach, lily-of-the-valley, rose, labdanum, tolu balsam, sandalwood, amber, opoponax, musk, coconut, vanilla, benzoin, vetiver, incense, cedar, myrrh, coriander, plum, citruses, mandarin orange, pepper, jasmine, cloves, west indian bay, bergamot"
Jardin de France,Reve de Chevrefeuille,2015,"white floral, woody, yellow floral, musky, rose","honeysuckle, jasmine, rose, ylang-ylang, white musk, vetiver, neroli"
Durance en Provence,Cotton flower,2012,"powdery, fresh, floral","cotton flower, powdery notes"
Bogner,Fire Ice for Women,2011,"fruity, fresh spicy, green, sweet, citrus","jasmine, ginger, freesia, peach, musk, sandalwood, amber, vanille, cardamom, bergamot, tea, pear"
Montale,So Flowers,2010,"floral, white floral, musky, rose, green","musk, iris, jasmine, hyacinth, ylang-ylang, rose"
Gri Gri Parfums,Tara Mantra,2016,"warm spicy, aromatic, fresh spicy, patchouli, white floral","patchouli, caraway, lotus, jasmine, agarwood (oud), saffron, cardamom, asafoetida"
Sabon,Shir Lily,0,"floral, green, fruity, musky, white floral, fresh","jasmine, lily-of-the-valley, litchi, musk, green notes, granny smith apple, pear"
Coeur d Esprit Natural Perfumes,Autumn Aura,2010,"balsamic, vanilla, fresh spicy, woody, aromatic, powdery","peru balsam, copahu balm, sandalwood, vanille, tuberose, champaca, pepper, tarragon, petitgrain"
Maison Anonyme,Vespero,2016,"balsamic, smoky, woody, musky, fresh spicy","myrrh, jasmine, rose de mai, olibanum, ylang-ylang, cedar, ambergris, patchouli, musk, black pepper, elemi"
Natura,Am,2015,"floral, vanilla, white floral, powdery, citrus","violet, lily-of-the-valley, jasmine, musk, vanilla, cedar, bergamot, orange, lemon"
Moschino,Friends Men,2005,"citrus, aromatic, fresh spicy, woody, green","petitgrain paraguay, pelargonium, sea notes, tahitian vetiver, cedar, musk, green mandarin, bergamot, blood orange"
Demeter Fragrance,Lilac,0,"floral, fresh, green, soft spicy, sweet",lilac
I Coloniali,Animal Oud,2012,"amber, aromatic, warm spicy, vanilla, fresh spicy, animalic","geranium, amber, cedar, madagascar vanilla, cardamon, black currant"
Carolina Herrera,AquaFlore,1997,"floral, powdery, woody, fruity, fresh, white floral","cyclamen, jasmine, lily-of-the-valley, rose, sandalwood, amber, musk, orris root, melon, mandarin orange, violet, peach"
Dana,Heaven Sent,2001,"floral, woody, musky, rose, white floral","jasmine, rose, lily-of-the-valley, patchouli, oakmoss, musk, sandalwood, apple blossom, bergamot, mandarin orange"
Accessorize,Joy,2011,"fruity, sweet, ozonic, aquatic, citrus","mandarin orange, watermelon, apple, raspberry"
Bond No 9,Liberty Island,2016,"citrus, white floral, sweet, fruity, musky","jasmine, orange blossom, musk, marshamallow, mandarin orange, bergamot, black currant"
Esscentual Alchemy,Helena MMXIV,2015,"balsamic, woody, powdery, white floral, warm spicy, smoky","rose, jasmine, olibanum, orris root, myrrh, sandalwood, labdanum, tolu balsam, palisander rosewood"
Parfums Codibel,Femme de Codibel,0,nan,nan
4160 Tuesdays,Midnight in the Palace Garden,2015,"woody, white floral, citrus, herbal, coffee, warm spicy","atlas cedar, frangipani, jasmine, neroli, sandalwood, cedar, woody notes, blood orange, vanilla, coffee, artemisia"
Giorgio Beverly Hills,So You,2002,"floral, fruity, amber, tuberose, warm spicy, powdery","tuberose, water lily, rose, violet, paprika, musk, amber, vanille, osmanthus, plum"
Acqua di Parma,Colonia Assoluta Edizione Speciale 2013,2013,"citrus, woody, warm spicy, aromatic, earthy","pimento, pink pepper, ylang-ylang, jasmine, vetiver, cedar, cardamom, moss, musk, amber, patchouli, sweet orange, bitter orange, bergamot, lemon verbena"
Sage Machado,Garnet Amethyst,0,"floral, powdery, rose, white floral, fruity","gardenia, rose, violet, lilac, blackberry"
Cliff Richard,Dream Maker,0,"citrus, white floral, rose, floral, warm spicy","jasmine, gardenia, geranium, tuberose, heliotrope, rose, lily-of-the-valley, magnolia, spices, musk, sandalwood, vetyver, citruses, peach"
Serge Lutens,Feminite du Bois,2009,"woody, warm spicy, sweet, fruity, powdery, cinnamon","clove, ylang-ylang, violet, african orange flower, ginger, rose, vanilla, musk, sandalwood, benzoin, virginia cedar, cinnamon, plum, peach"
Christian Lacroix,Rouge,2007,"floral, fresh spicy, patchouli, citrus, fresh, musky","lotus, osmanthus, patchouli, musk, cashmere wood, orange, white pepper, red peony"
Kenzo,Kenzo Homme Boisee,2010,"fresh spicy, woody, green, aromatic, earthy","rosemary, pepper, vetyver, virginia cedar, basil, mint"
Jalaine,Silk,0,"vanilla, amber, marine, powdery, aromatic, animalic","amber, vanille, sea water"
Guerlain,Shalimar Souffle de Parfum,2016,"citrus, white floral, vanilla, musky, green, sweet","jasmine sambac, orange blossom, white musk, indian vanilla, tahitian vanilla, bergamot, mandarin orange, lemon"
Demeter Fragrance,Great Barrier Reef,2015,"sweet, powdery, fruity, gourmand","powdery notes, sweet notes, coral reef"
Prada,No3 Cuir Amber,2003,"warm spicy, leather, floral, woody, animalic, powdery","neroli, amber, cinnamon, rose, jasmine, heliotrope, oakmoss, patchouli, vanilla, leather, green coriander, cloves, musk, carnation, iris, sandalwood"
Fragonard,Pivoine,2017,"floral, fresh, rose, powdery, sweet, fruity","pink peony, red peony, jasmine, mimosa, iris, musk, amber, red currant, rhubarb, mock orange"
Revlon,Chaz,1975,"aromatic, woody, fresh spicy, musky, floral","geranium, carnation, pine, coriander, cinnamon, clary sage, cyclamen, cedar, moss, musk, tonka bean, amber, lavender, rosemary, laurels, bergamot, lemon"
Anglia Perfumery,Richmond,0,"floral, woody, powdery, citrus, amber, musky","lavender, violet, heliotrope, cedar, amber, patchouli, musk, bergamot, lime"
So,So Brit,0,"rose, powdery, floral, fresh, amber, vanilla","cranberry, amber, powdery notes, vanilla, english rose, peony"
Jean Pierre Sand,Wind of Freedom Highway to Sun Day,0,"woody, aromatic, floral, powdery, amber","amber, pear, iris, vetiver, cedar, lavender"
DayNa Decker,Le Petit Parfum Khaya,2009,"woody, balsamic, powdery, warm spicy, citrus","sandalwood, virginia cedar, mahogany, bergamot, tea"
Brooks Brothers,Black Fleece,1950,"warm spicy, aromatic, woody, fresh spicy, balsamic, citrus","geranium, palisander rosewood, vetyver, patchouli, incense, citruses, spices"
Union,Gothic Bluebell,2012,"green, floral, ozonic, woody, fresh spicy","hyacinth, narcissus, violet leaf, ivy, oak, bellflower"
Sentifique,Dangereuse,2012,"powdery, woody, musky, coconut, floral","white musk, coconut milk, sandalwood, iris"
Hilde Soliani,Ti Amo Margherita,0,"green, floral, woody, white floral, fresh","rose, orange blossom, bellflower, lily-of-the-valley, tuberose, honeysuckle, vetiver, musk, amber, ivy"
Yoppy,Rocking Glam,2012,"sweet, white floral, powdery, fruity, vanilla","gardenia, jasmine, violet, toffee, sandalwood, vanila, mandarin orange, peach, green apple"
Avon,Herve Leger Intrigue Homme,2012,"fresh spicy, aromatic, citrus, musky, floral","lavender, musk, bergamot"
Demeter Fragrance,Saffron,2016,"warm spicy, leather, tobacco",saffron
Ted Lapidus,Envol,1981,"woody, white floral, rose, earthy, floral, musky","fruity notes, floral notes, jasmine, rose, woodsy notes, oak moss, green notes, musk, amber"
Kelly Jones,Notes of Merlot Reserve,2016,"sweet, fruity, powdery, woody, floral, sour","rhubarb, red currant, fig, violet, sweet notes, grapefruit, hay, orris root, rose"
L Erbolario,Acqua di Colonia Imperiale,0,"aromatic, herbal, fresh spicy, bitter, soft spicy","sage, tarragon, artemisia, lavender"
Do Brasil,Paraiso,0,"floral, citrus, sweet, aromatic, white floral, vanilla","jasmine, pink peony, white orchid, amber, tonka bean, vanilla, musk, bergamot, mandarin orange, almond milk"
Lucien Lelong,Jabot,1939,nan,nan
Alvarez Gomez,Rosa,0,"rose, floral, citrus",rose
Le Labo,Benjoin 19 Moscow,2013,"balsamic, amber, smoky, woody, musky, warm spicy","amber, musk, olibanum, cedar, benzoin"
Benetton,United Dreams Stay Positive,2014,"citrus, white floral, woody, fresh spicy, aromatic","neroli, orange blossom, cedar, musk, sandalwood, bergamot, citrus leaf"
Otoori,Musk Al Safwa,0,"green, fresh, sweet, tropical, citrus, tobacco","mint, tobacco, loukhoum, mango, citruses, green grass"
Cont m 1g,34,2001,"powdery, floral, woody, green, white floral","violet, rose, cactus flower, lily, iris flower, jasmine, vanilla, amber, white musk, green notes, cassis"
Alexandre J,Le Royal,0,"woody, citrus, balsamic, aromatic, warm spicy, fresh spicy","palisander rosewood, black pepper, cedar, elemi, musk, vanilla, amber, lemon, pear, cardamom, cinnamon"
Jacques Evard,Writer Edition Sport,0,"floral, aromatic, citrus, musky, fresh, marine","cyclamen, freesia, coriander, cedar, patchouli, musk, citruses, sea notes"
Parfumerie Generale,PG02 Coze,2002,"warm spicy, woody, sweet, smoky, patchouli, fresh spicy","paprika, coffee, mexican chocolate, tobacco, ebony wood, vanille, patchouli, sandalwood, virginia cedar, cannabis, pepper"
Adopt by Reserve Naturelle,Pomme Jasmin,0,"fruity, white floral, fresh, green, woody","jasmine, cedar, benzoin, musk, orange, apple, lemon"
Aedes de Venustas,Cierge De Lune,2016,"powdery, vanilla, amber, yellow floral, musky","madagascar vanilla, black and pink pepper, ylang-ylang, hedione, suede, incense, amber, musk, ambroxan, musk, powdery notes"
s Oliver,Soulmate Men,2013,"fresh spicy, amber, aromatic, floral, animalic","nutmeg, tonka bean, lavender, amber, patchouli, mandarin orange, saffron, black pepper"
Ajmal,Dahn Al Oudh Arzan,2015,"oud, fresh spicy, balsamic, woody",agarwood (oud)
Guerlain,Teazzurra,2015,"citrus, green, ozonic, fresh spicy, herbal","green tea, chamomile, jasmine, musk, calone, vanilla, bergamot, lemon, yuzu, grapefruit"
Charenton Macerations,Asphalt Rainbow,2015,"floral, rose, asphault, leather, woody, green","rose, galbanum, lily-of-the-valley, litchi, ylang-ylang, saffron, magnolia, leather, labdanum, patchouli, woody notes, amber, asphalt"
Michael Kors,Island Fiji,2006,"white floral, fruity, leather, tropical, sweet, green","tulip, honeysuckle, cactus, ginger, jasmine, mango, kiwi, birch, suede, tiare flower, frangipani, bulgarian rose"
L Aromatica Perfume,Rambling Man,0,"fresh spicy, woody, citrus, earthy, soft spicy","citruses, cumin, ginger, calamus, woody notes, boletus edulis"
Demeter Fragrance,Malaga Cooler,0,"citrus, wine, fresh, fresh spicy, conifer","red wine, citruses, lime"
Balenciaga,Eau de Balenciaga Lavande,1973,"aromatic, woody, fresh spicy, floral, citrus","carnation, geranium, sandalwood, virginia cedar, vetiver, musk, oak moss, amber, tonka bean, lavender, petitgrain, bergamot, amalfi lemon"
Juicy Couture,I Am Juicy Couture Dry Oil Shimmer Mist,2016,"sweet, white floral, musky, floral, amber","gardenia, heliotrope, rose, sweet pea, macadamia, primrose, sweet almond, musk, amber, cashmere wood, raspberry, pomelo, passionfruit"
Mariella Burani,Mariella,1996,"woody, powdery, floral, balsamic, vanilla","carnation, jasmine, lotus, lily, cyclamen, musk, sandalwood, amber, tonka bean, vanille, heliotrope, orris root, peach, palisander rosewood, bergamot, grapefruit"
Cacharel,Scarlett,2011,"white floral, honey, sweet, green, fruity, musky","jasmine, orange blossom, honeysuckle, white musk, sandalwood, honey, tea leaf, lemon, pear"
Historiae,Orangerie du Roy,2012,"citrus, aromatic, fresh spicy, white floral, green","orange blossom, ylang-ylang, honeysuckle, lavender, thyme, mock orange, patchouli, vetiver, oakmoss, musk, lemon, sweet orange, petitgrain, basil, spicy mint, bergamot"
Cindy C,Black White,0,"woody, powdery, floral, sweet, fruity, balsamic","freesia, jasmine, rose, violet, amber, vanilla, cedar, patchouli, sandalwood, musk, bergamot, raspberry, plum"
Nabeel,Layali Al Hub,0,"woody, aromatic, floral, earthy, powdery, animalic","orchid, jasmine, rose, geranium, cyclamen, ylang-ylang, iris, carnation, leather, tonka bean, white musk, moss, oakmoss, honey, patchouli, cedar, sandalwood, tobacco, vetiver, civet, cypriol oil or nagarmotha, agarwood (oud), ambergris, aldehydes, star anise, chamomile, lemon, tarragon, gardenia, violet leaf, ginger, saffron"
Lush,Karma,1995,"citrus, aromatic, woody, fresh spicy, patchouli","pine tree, lemon, cassis, patchouli, fir resin, elemi, cinnamon, orange, lavender, lemongrass"
Nautica,White Sail,1997,"aromatic, fresh spicy, woody, herbal, floral, white floral","geranium, african orange flower, bamboo, vetiver, teak wood, amber, petitgrain, lavender, juniper, pink pepper"
I Coloniali,Luxurious Datura,2012,"warm spicy, white floral, fresh spicy, cinnamon, aromatic","geranium, iris, vanila, patchouli, datura, cinnamon"
Mariella Martinato,Black,2015,"warm spicy, balsamic, rose, white floral, musky, woody","egyptian jasmine, bulgarian rose, ebony tree, cashmere musk, tolu balsam, saffron, cumin"
Fendi,Fendi,1985,"woody, warm spicy, aromatic, balsamic, floral, citrus","carnation, cypress, jasmine, ylang-ylang, lily-of-the-valley, rose, geranium, spices, leather, sandalwood, tonka bean, amber, patchouli, musk, oakmoss, vanilla, cedar, aldehydes, coriander, mandarin orange, bergamot, brazilian rosewood, cardamom, lemon"
Blood Concept,XY Nude Wood,2016,"woody, balsamic, warm spicy, aromatic, amber, earthy","leather, tonka bean, lily-of-the-valley, cypriol oil or nagarmotha, sandalwood, cedar, vetiver, labdanum, benzoin, cedar needles, coconut, cinnamon"
Des Filles a la Vanille,Nuit d Ambre,0,"woody, powdery, amber, balsamic, warm spicy","cedar, sandalwood, cinnamon, rose, violet, amber"
Bejar,Excellence,0,nan,nan
Harajuku Lovers,Harajuku Lovers G,2008,"coconut, tropical, sweet, milky, vanilla, floral","jasmine, freesia, magnolia, sandalwood, cotton flower, mandarin orange, coconut, red apple"
